,Y
2160,1
90,1
2251,1
2507,1
86,1
6350,1
4923,1
282,1
1234,1
721,1
2499,1
2867,1
1464,1
3981,1
5955,1
1237,1
5012,1
692,1
5981,1
597,1
3920,1
2690,1
6445,1
4912,1
5881,1
3133,1
6515,1
6258,1
5849,1
5678,1
4508,1
405,1
2816,1
1050,1
3508,1
5380,1
4023,1
3660,1
3771,1
2380,1
5900,1
5743,1
2787,1
6399,1
4313,1
3576,1
5984,1
912,1
5623,1
3462,1
1384,1
6274,1
5438,1
2844,1
2208,1
799,1
5593,1
4591,1
4193,1
6327,1
4076,1
2347,1
5600,1
3763,1
3861,1
4606,1
7,1
5891,1
676,1
2610,1
3198,1
471,1
4456,1
1248,1
5504,1
5726,1
6210,1
2858,1
250,1
1336,1
1991,1
4772,1
3547,1
5652,1
4715,1
3944,1
5447,1
3492,1
947,1
1080,1
4703,1
505,1
4349,1
511,1
1713,1
6500,1
2875,1
1865,1
5556,1
3329,1
4415,1
1510,1
4560,1
2252,1
4216,1
6287,1
157,1
6342,1
1403,1
2040,1
3939,1
2577,1
3801,1
258,1
5291,1
3871,1
4917,1
3366,1
5991,1
4449,1
2538,1
129,1
5109,1
3056,1
3983,1
983,1
2604,1
5567,1
5591,1
4873,1
5985,1
3087,1
1206,1
1249,1
3849,1
4117,1
5596,1
6408,1
521,1
3573,1
2393,1
6084,1
4110,1
1469,1
4365,1
4832,1
6008,1
5801,1
4011,1
301,1
5279,1
3247,1
1171,1
744,1
5785,1
3985,1
5348,1
5159,1
1362,1
4291,1
322,1
329,1
369,1
4474,1
5264,1
2005,1
4680,1
4995,1
5943,1
2626,1
167,1
5510,1
2216,1
6137,1
2650,1
2814,1
4700,1
4650,1
5804,1
6044,1
5695,1
2195,1
231,1
6328,1
30,1
1770,1
1967,1
4135,1
4519,1
5509,1
2471,1
5748,1
2536,1
2804,1
1209,1
6223,1
4095,1
2648,1
2742,1
2716,1
3885,1
3756,1
402,1
2806,1
5232,1
1002,1
1932,1
1835,1
4431,1
5396,1
6007,1
1978,1
2542,1
4197,1
4618,1
6491,1
4575,1
41,1
5839,1
5517,1
5643,1
767,1
2034,1
6033,1
5942,1
3834,1
4918,1
6070,1
3200,1
3891,1
1822,1
10,1
2905,1
2174,1
1573,1
3741,1
701,1
3436,1
360,1
5551,1
3599,1
3059,1
6063,1
836,1
1343,1
4823,1
4278,1
3007,1
1789,1
628,1
5977,1
6330,1
6355,1
4351,1
1407,1
4634,1
5379,1
1131,1
3863,1
4242,1
5927,1
4144,1
2618,1
2779,1
3232,1
4417,1
4489,1
3630,1
5658,1
2291,1
2531,1
724,1
1693,1
58,1
4945,1
2576,1
3585,1
5308,1
78,1
5717,1
2130,1
3299,1
2435,1
5377,1
3068,1
3706,1
4104,1
1499,1
624,1
2409,1
6359,1
6093,1
5266,1
3019,1
717,1
3937,1
5342,1
39,1
2420,1
2384,1
14,1
2719,1
5469,1
3375,1
2074,1
5535,1
3650,1
5626,1
3282,1
996,1
2681,1
88,1
1975,1
5295,1
2545,1
323,1
3465,1
2068,1
2100,1
2438,1
5033,1
5131,1
4641,1
4529,1
3153,1
3876,1
1571,1
3111,1
3634,1
200,1
5974,1
4783,1
4381,1
3025,1
5747,1
1364,1
218,1
1102,1
1639,1
2343,1
3291,1
1658,1
141,1
2517,1
346,1
1668,1
856,1
1132,1
1977,1
974,1
1854,1
2740,1
2627,1
373,1
893,1
2572,1
4880,1
2468,1
424,1
1247,1
2004,1
6083,1
2452,1
1881,1
2586,1
4814,1
1665,1
1098,1
4926,1
5194,1
3720,1
3790,1
1679,1
1562,1
5782,1
3250,1
5615,1
1742,1
4905,1
3410,1
3294,1
3780,1
5443,1
2404,1
3697,1
3896,1
961,1
565,1
4448,1
6214,1
4228,1
2219,1
2741,1
3769,1
4568,1
5842,1
987,1
4405,1
3334,1
1238,1
259,1
6228,1
2215,1
2805,1
3496,1
5363,1
441,1
4883,1
494,1
1216,1
3078,1
1843,1
2870,1
4350,1
2570,1
770,1
6415,1
4371,1
4767,1
3633,1
977,1
2731,1
2058,1
4153,1
5949,1
2257,1
2395,1
4440,1
5434,1
3883,1
942,1
2587,1
5495,1
6048,1
6113,1
1261,1
1067,1
12,1
6247,1
2350,1
272,1
6109,1
4961,1
2677,1
2911,1
6077,1
5356,1
5156,1
5906,1
3584,1
3667,1
2534,1
5779,1
3899,1
5897,1
2281,1
1998,1
4635,1
1113,1
4230,1
5644,1
6295,1
4551,1
1370,1
3367,1
756,1
3782,1
2903,1
743,1
1902,1
2838,1
435,1
1371,1
2418,1
3265,1
2566,1
5866,1
1040,1
5690,1
2539,1
2144,1
382,1
3698,1
330,1
831,1
2324,1
1860,1
739,1
1060,1
1640,1
1106,1
4204,1
858,1
2152,1
98,1
5769,1
5327,1
3761,1
6463,1
2906,1
5476,1
3040,1
6331,1
5404,1
968,1
1024,1
1960,1
2447,1
2880,1
4530,1
2450,1
849,1
3341,1
5091,1
5395,1
852,1
5244,1
4165,1
1963,1
4585,1
958,1
2437,1
5869,1
4116,1
1757,1
3141,1
4996,1
2470,1
2481,1
5079,1
2289,1
2665,1
1025,1
6276,1
3608,1
2262,1
4756,1
61,1
5199,1
5193,1
592,1
5481,1
2913,1
2301,1
3337,1
2686,1
2113,1
2868,1
3101,1
5898,1
6398,1
1049,1
886,1
391,1
3835,1
298,1
1176,1
5939,1
2596,1
1894,1
1725,1
562,1
837,1
4801,1
3004,1
1181,1
3705,1
1243,1
873,1
1203,1
3732,1
5882,1
4288,1
1141,1
3953,1
2841,1
4383,1
4732,1
5063,1
1625,1
2897,1
2110,1
506,1
489,1
145,1
4306,1
4151,1
981,1
173,1
5918,1
6298,1
4027,1
5714,1
1317,1
2505,1
6501,1
3809,1
2840,1
969,1
1211,1
6043,1
1909,1
1569,1
4935,1
4163,1
5630,1
2189,1
5110,1
6014,1
3694,1
1320,1
456,1
1678,1
6306,1
685,1
4270,1
1646,1
5154,1
704,1
3561,1
5809,1
5867,1
6430,1
4794,1
6238,1
4146,1
2035,1
5053,1
5757,1
5082,1
3506,1
3726,1
6378,1
2981,1
3197,1
1775,1
1583,1
3071,1
4525,1
438,1
2999,1
2944,1
3982,1
1432,1
906,1
5514,1
682,1
2872,1
6251,1
5916,1
3966,1
363,1
4859,1
1042,1
2666,1
2777,1
4503,1
2705,1
3156,1
4939,1
5860,1
3539,1
2971,1
772,1
286,1
1081,1
4295,1
5222,1
77,1
4731,1
1578,1
497,1
595,1
4536,1
3957,1
5759,1
5701,1
1244,1
3,1
428,1
2134,1
2335,1
3396,1
2003,1
1834,1
1416,1
4509,1
5995,1
2662,1
3759,1
1871,1
2229,1
182,1
2356,1
5211,1
1257,1
6053,1
5590,1
3433,1
4946,1
2036,1
932,1
3816,1
1828,1
3724,1
1086,1
1191,1
6307,1
3963,1
4355,1
3922,1
569,1
4290,1
3900,1
3426,1
2282,1
1429,1
5961,1
1459,1
25,1
142,1
2935,1
2465,1
2837,1
3825,1
339,1
5667,1
3589,1
3894,1
163,1
2661,1
2590,1
156,1
1381,1
4889,1
1062,1
5094,1
3130,1
5941,1
2695,1
4992,1
4628,1
6353,1
4726,1
4004,1
3121,1
2164,1
2434,1
3945,1
2155,1
802,1
4055,1
5410,1
881,1
2246,1
1321,1
1223,1
3172,1
3665,1
1984,1
848,1
3033,1
5315,1
5856,1
6360,1
1907,1
1012,1
5674,1
4048,1
1833,1
878,1
5369,1
771,1
4285,1
467,1
1064,1
5706,1
6208,1
4136,1
5038,1
1670,1
6154,1
4981,1
2782,1
5097,1
2919,1
1532,1
6041,1
1341,1
6465,1
2029,1
6180,1
1870,1
4105,1
3030,1
5312,1
504,1
762,1
1061,1
4942,1
3395,1
4393,1
5513,1
18,1
3069,1
6488,1
3220,1
613,1
2520,1
102,1
5057,1
3242,1
3947,1
3054,1
2386,1
6110,1
4553,1
6144,1
5637,1
708,1
3501,1
5303,1
3085,1
5005,1
3364,1
2396,1
3073,1
4712,1
794,1
6460,1
2852,1
4205,1
4164,1
4445,1
6133,1
4802,1
5485,1
1811,1
599,1
4671,1
2630,1
6367,1
2098,1
3191,1
378,1
5609,1
4059,1
171,1
5309,1
1006,1
4249,1
5663,1
3723,1
4182,1
894,1
4293,1
321,1
465,1
245,1
3429,1
5010,1
3926,1
2792,1
1213,1
3149,1
2965,1
1852,1
4264,1
3318,1
3086,1
3042,1
3284,1
5466,1
5058,1
5101,1
937,1
2464,1
1250,1
72,1
2611,1
3351,1
1058,1
6019,1
2928,1
1090,1
1389,1
1517,1
26,1
5672,1
6277,1
5463,1
4079,1
2494,1
6356,1
4647,1
4838,1
1212,1
4816,1
870,1
5239,1
1091,1
2631,1
4891,1
3324,1
4612,1
2729,1
3041,1
4651,1
2314,1
982,1
3908,1
2954,1
5775,1
1068,1
1919,1
6034,1
2485,1
3851,1
5041,1
1258,1
3776,1
4150,1
2896,1
674,1
4543,1
1041,1
2009,1
4390,1
6285,1
6059,1
4855,1
2789,1
4077,1
151,1
5169,1
4391,1
3260,1
5390,1
4675,1
4050,1
93,1
4058,1
2761,1
3516,1
4225,1
2580,1
5951,1
1411,1
4594,1
2075,1
4211,1
3820,1
488,1
5614,1
6200,1
2718,1
6314,1
6252,1
5548,1
4751,1
2206,1
5349,1
1116,1
3120,1
4370,1
5527,1
432,1
5713,1
1000,1
1415,1
2280,1
6436,1
1597,1
3590,1
5894,1
5134,1
2021,1
618,1
5917,1
1633,1
1727,1
5086,1
4872,1
262,1
4999,1
5518,1
5129,1
3695,1
2735,1
1493,1
5138,1
4721,1
1974,1
1884,1
644,1
4631,1
4899,1
5178,1
2933,1
2528,1
5183,1
6296,1
6166,1
2699,1
3212,1
5530,1
973,1
2571,1
1487,1
935,1
1508,1
2853,1
2493,1
2090,1
411,1
1548,1
3972,1
5416,1
3467,1
4516,1
4357,1
4478,1
105,1
5712,1
480,1
419,1
143,1
5545,1
4046,1
320,1
3139,1
5383,1
5506,1
2608,1
1710,1
1540,1
5286,1
6234,1
1869,1
3419,1
3325,1
1565,1
5973,1
342,1
2721,1
3567,1
1857,1
1876,1
6241,1
4777,1
2530,1
4658,1
1007,1
551,1
2560,1
4269,1
421,1
1872,1
3129,1
526,1
579,1
2313,1
5736,1
5594,1
4339,1
6357,1
1630,1
6260,1
3112,1
4901,1
3217,1
2444,1
4850,1
4990,1
5408,1
3679,1
3568,1
5056,1
3984,1
1375,1
2316,1
3394,1
5982,1
4327,1
1674,1
6269,1
2771,1
2986,1
1423,1
4005,1
1056,1
5763,1
6103,1
4303,1
3031,1
5197,1
4215,1
307,1
5980,1
1805,1
6310,1
1626,1
4698,1
3214,1
3412,1
5358,1
6201,1
1437,1
2652,1
575,1
584,1
4845,1
4666,1
4974,1
5272,1
966,1
1280,1
2442,1
2443,1
4402,1
3996,1
636,1
1180,1
846,1
4936,1
792,1
3909,1
5126,1
3115,1
5249,1
6139,1
5498,1
6348,1
3662,1
5115,1
5938,1
3104,1
979,1
3405,1
4080,1
2225,1
3901,1
3225,1
3867,1
3906,1
1746,1
4001,1
5540,1
6202,1
1083,1
2811,1
1842,1
2667,1
1653,1
1983,1
107,1
1537,1
1906,1
2376,1
5326,1
5832,1
1431,1
671,1
3687,1
50,1
24,1
3621,1
1085,1
1730,1
6278,1
1944,1
2484,1
5123,1
290,1
1563,1
2964,1
3684,1
285,1
4407,1
331,1
1500,1
2515,1
5946,1
5952,1
1832,1
3527,1
5845,1
6066,1
4964,1
6115,1
1372,1
261,1
2211,1
219,1
959,1
4871,1
6262,1
525,1
4179,1
6171,1
191,1
1346,1
3423,1
4082,1
1127,1
1647,1
1604,1
4546,1
4534,1
3857,1
6125,1
1202,1
1148,1
5697,1
5289,1
1355,1
951,1
4233,1
33,1
5686,1
4315,1
1195,1
5750,1
3383,1
751,1
2425,1
3478,1
5020,1
2589,1
1948,1
266,1
3487,1
1448,1
3897,1
3012,1
6244,1
2285,1
2821,1
4654,1
6271,1
1047,1
4089,1
2088,1
862,1
3228,1
972,1
2946,1
5459,1
131,1
4763,1
2825,1
5915,1
948,1
552,1
3802,1
5913,1
3898,1
560,1
1599,1
2907,1
3682,1
6005,1
1077,1
1667,1
3084,1
5480,1
6454,1
5046,1
1507,1
940,1
1220,1
4134,1
5161,1
27,1
5789,1
2213,1
5032,1
4862,1
819,1
5632,1
3342,1
5214,1
3545,1
1903,1
3743,1
222,1
5267,1
3951,1
2319,1
5786,1
1174,1
2296,1
2367,1
3222,1
4833,1
723,1
4061,1
308,1
690,1
2163,1
1175,1
5668,1
3061,1
4908,1
1335,1
3873,1
699,1
3864,1
4765,1
4294,1
1204,1
5241,1
4400,1
4455,1
3297,1
4375,1
4540,1
2111,1
5220,1
5854,1
3427,1
3164,1
1476,1
590,1
3799,1
2510,1
2557,1
5144,1
4682,1
5884,1
3385,1
153,1
861,1
2956,1
1074,1
63,1
3353,1
2672,1
6052,1
5259,1
3300,1
3580,1
51,1
6149,1
2748,1
5173,1
2866,1
2472,1
914,1
6130,1
3358,1
1908,1
4878,1
1347,1
4892,1
5274,1
2381,1
3822,1
766,1
4890,1
5448,1
3017,1
1027,1
4246,1
5559,1
6102,1
2898,1
851,1
3831,1
1917,1
1034,1
3392,1
1699,1
3070,1
5130,1
1928,1
4718,1
3648,1
4620,1
1308,1
2955,1
4512,1
4747,1
3362,1
4267,1
6416,1
5502,1
6085,1
1017,1
3379,1
3301,1
6363,1
5382,1
3952,1
6409,1
75,1
6282,1
114,1
832,1
5549,1
4238,1
4656,1
384,1
3669,1
4379,1
5203,1
4584,1
731,1
6131,1
5847,1
3378,1
1588,1
2691,1
6447,1
4170,1
1632,1
5164,1
3713,1
1821,1
3102,1
6432,1
5718,1
5933,1
4207,1
1738,1
6385,1
37,1
5558,1
5210,1
2732,1
6161,1
6114,1
148,1
1918,1
5872,1
1544,1
5671,1
5346,1
2734,1
1366,1
4017,1
4255,1
4438,1
3515,1
5727,1
1926,1
3296,1
1954,1
4678,1
2547,1
2757,1
6182,1
2824,1
2150,1
4545,1
2788,1
5054,1
1207,1
3253,1
3772,1
2864,1
4130,1
478,1
6468,1
4063,1
4341,1
4208,1
6407,1
1197,1
5087,1
1657,1
4209,1
5014,1
1390,1
3044,1
5793,1
1910,1
645,1
1858,1
340,1
3893,1
38,1
4702,1
1305,1
4314,1
2081,1
1462,1
3446,1
2239,1
309,1
4412,1
3287,1
3754,1
3797,1
3609,1
3003,1
2228,1
81,1
6237,1
2888,1
1856,1
4906,1
945,1
1671,1
2726,1
1874,1
1829,1
5200,1
6064,1
1119,1
162,1
5988,1
6304,1
2445,1
2532,1
6411,1
5873,1
1070,1
1656,1
4453,1
1891,1
1285,1
2183,1
3461,1
4263,1
1712,1
2176,1
5338,1
4212,1
5283,1
4224,1
2927,1
5037,1
2433,1
3194,1
2085,1
2411,1
1309,1
898,1
4615,1
207,1
6082,1
3961,1
349,1
1290,1
669,1
2146,1
4623,1
2918,1
2375,1
6046,1
2140,1
6339,1
3546,1
3229,1
4817,1
520,1
3611,1
6419,1
440,1
5840,1
57,1
1334,1
4187,1
732,1
4123,1
1897,1
4596,1
5478,1
4812,1
5694,1
1629,1
2454,1
5745,1
728,1
195,1
5299,1
5201,1
3877,1
4689,1
1134,1
3658,1
2263,1
5022,1
3263,1
3451,1
929,1
6427,1
1236,1
917,1
1729,1
2268,1
3717,1
206,1
633,1
5911,1
1921,1
648,1
3468,1
780,1
2181,1
3533,1
4661,1
840,1
998,1
4824,1
5635,1
3354,1
146,1
5256,1
1043,1
2639,1
757,1
803,1
1187,1
47,1
3890,1
3637,1
1246,1
3841,1
3783,1
2323,1
427,1
544,1
4743,1
2287,1
700,1
3450,1
356,1
1297,1
4970,1
3712,1
4550,1
4387,1
3878,1
5570,1
6155,1
1840,1
3256,1
6442,1
6284,1
6194,1
709,1
2930,1
1593,1
5865,1
791,1
2352,1
3113,1
3015,1
1956,1
3157,1
833,1
5121,1
3808,1
4821,1
5236,1
134,1
2689,1
5853,1
439,1
5589,1
34,1
4271,1
4446,1
502,1
1567,1
5797,1
6015,1
6375,1
338,1
2259,1
2714,1
547,1
482,1
1608,1
3036,1
6141,1
2456,1
5367,1
6074,1
3408,1
394,1
4870,1
6514,1
4307,1
581,1
5735,1
6047,1
3683,1
706,1
6127,1
6487,1
5758,1
3548,1
4993,1
5969,1
4126,1
4948,1
2052,1
4499,1
399,1
1936,1
1718,1
5579,1
3887,1
111,1
2876,1
6159,1
3907,1
5304,1
3047,1
3473,1
4515,1
4196,1
3162,1
4034,1
1270,1
2379,1
4764,1
216,1
0,1
4947,1
3387,1
500,1
336,1
3642,1
3691,1
2754,1
4482,1
530,1
3210,1
2521,1
1304,1
3376,1
264,1
777,1
5532,1
5562,1
1353,1
4887,1
3872,1
1683,1
4250,1
358,1
4366,1
2644,1
3055,1
796,1
3159,1
3146,1
539,1
5693,1
5090,1
4583,1
2711,1
1617,1
6340,1
5301,1
4611,1
658,1
3046,1
3155,1
1698,1
5508,1
6230,1
1065,1
5347,1
2095,1
3384,1
1551,1
2492,1
3696,1
5102,1
6248,1
3009,1
5146,1
3806,1
3792,1
3074,1
965,1
4670,1
130,1
3234,1
2978,1
5047,1
5880,1
3311,1
3374,1
518,1
3674,1
1785,1
3023,1
4852,1
2508,1
5388,1
3125,1
4513,1
5784,1
913,1
3258,1
2958,1
2479,1
3646,1
1156,1
6025,1
3709,1
776,1
376,1
4978,1
4403,1
1418,1
6032,1
4409,1
4736,1
750,1
418,1
6169,1
275,1
3416,1
3813,1
3882,1
463,1
1424,1
4386,1
1951,1
2200,1
4909,1
5601,1
2941,1
362,1
3582,1
6101,1
1491,1
4893,1
2696,1
247,1
3445,1
6286,1
5333,1
1447,1
3176,1
3653,1
6152,1
710,1
1045,1
6240,1
3020,1
1036,1
414,1
1481,1
5219,1
3721,1
3540,1
703,1
3158,1
3226,1
1807,1
2649,1
6193,1
1161,1
3859,1
5656,1
1338,1
2629,1
2363,1
6369,1
5398,1
5740,1
4781,1
4118,1
5660,1
5277,1
1078,1
765,1
3302,1
4177,1
5719,1
3002,1
71,1
124,1
4129,1
4256,1
6344,1
6451,1
4322,1
4121,1
3850,1
5262,1
3340,1
6232,1
4427,1
4692,1
2942,1
1471,1
4410,1
6305,1
3997,1
1652,1
2230,1
2512,1
1995,1
2307,1
680,1
2556,1
4125,1
5512,1
2658,1
3794,1
2826,1
4124,1
6211,1
2617,1
2129,1
5013,1
4247,1
1298,1
5196,1
4021,1
4188,1
887,1
6018,1
3826,1
3290,1
2415,1
4485,1
3443,1
2250,1
5828,1
4686,1
1272,1
4311,1
6265,1
4062,1
3904,1
558,1
2092,1
269,1
2836,1
484,1
5031,1
4932,1
6146,1
3734,1
370,1
6080,1
2923,1
3432,1
4113,1
2424,1
4317,1
1302,1
1661,1
116,1
3973,1
5892,1
4184,1
1126,1
1904,1
4938,1
3581,1
140,1
922,1
3048,1
2192,1
408,1
2979,1
5457,1
5474,1
224,1
3544,1
2294,1
4411,1
3010,1
1028,1
6209,1
5028,1
1160,1
32,1
1146,1
2582,1
3543,1
891,1
632,1
1723,1
1092,1
6293,1
719,1
5106,1
6349,1
5547,1
4677,1
5823,1
5302,1
6243,1
1421,1
2455,1
4690,1
1850,1
2849,1
4469,1
2790,1
2738,1
2622,1
5497,1
4953,1
5928,1
1525,1
3077,1
5042,1
2361,1
5566,1
4007,1
528,1
2151,1
652,1
211,1
3779,1
4190,1
3874,1
1425,1
5343,1
2076,1
2768,1
2457,1
921,1
5536,1
1764,1
3699,1
950,1
4367,1
4097,1
5387,1
4957,1
4320,1
2170,1
2256,1
6216,1
1952,1
5586,1
4564,1
596,1
4766,1
6362,1
936,1
2720,1
2835,1
1862,1
5859,1
5323,1
4719,1
1087,1
4133,1
1015,1
2373,1
5909,1
1861,1
4321,1
1016,1
1524,1
529,1
1741,1
572,1
122,1
6425,1
1486,1
1167,1
2910,1
3575,1
1586,1
1294,1
3107,1
6000,1
1790,1
2763,1
4574,1
2383,1
1020,1
2057,1
1470,1
84,1
3843,1
749,1
1733,1
187,1
5137,1
3131,1
4335,1
2674,1
343,1
6158,1
3988,1
5386,1
1501,1
2616,1
517,1
1323,1
600,1
2818,1
6443,1
4854,1
246,1
4864,1
5166,1
5258,1
3583,1
5353,1
4559,1
2819,1
1895,1
3150,1
2191,1
3029,1
4441,1
3001,1
6030,1
1,1
3276,1
2209,1
5924,1
806,1
2116,1
711,1
4359,1
4254,1
1361,1
801,1
3187,1
5118,1
1522,1
5790,1
4186,1
885,1
2080,1
6455,1
3837,1
1170,1
1804,1
3118,1
1841,1
2766,1
3958,1
6022,1
3255,1
434,1
2162,1
4826,1
3083,1
3407,1
3747,1
2552,1
2412,1
763,1
1345,1
3065,1
967,1
169,1
5936,1
267,1
4274,1
3463,1
1506,1
351,1
464,1
4248,1
4822,1
6111,1
3471,1
3249,1
3537,1
1439,1
4258,1
5890,1
451,1
101,1
4571,1
31,1
4757,1
1162,1
5,1
2901,1
3336,1
2847,1
2663,1
6368,1
4714,1
1240,1
1057,1
6187,1
3624,1
6268,1
2969,1
3928,1
2988,1
3620,1
4166,1
1316,1
5385,1
5578,1
289,1
4268,1
1947,1
56,1
2126,1
1177,1
6107,1
2540,1
1414,1
3664,1
4753,1
971,1
1417,1
6426,1
621,1
6477,1
2526,1
769,1
4505,1
754,1
821,1
5437,1
6438,1
2364,1
2197,1
1449,1
2952,1
2883,1
4773,1
2371,1
6466,1
6224,1
1165,1
3076,1
880,1
888,1
5424,1
655,1
3511,1
3703,1
6390,1
1605,1
3021,1
4740,1
3888,1
3522,1
643,1
2390,1
6038,1
3560,1
5017,1
302,1
2149,1
1905,1
2549,1
1559,1
5616,1
196,1
3845,1
3562,1
2342,1
4106,1
1802,1
4750,1
4653,1
5937,1
4195,1
2122,1
994,1
5539,1
3106,1
1337,1
6272,1
527,1
3574,1
5078,1
753,1
2830,1
927,1
4617,1
6174,1
1274,1
3773,1
3666,1
3308,1
5143,1
2340,1
5516,1
4240,1
2701,1
36,1
3096,1
2330,1
943,1
5771,1
2312,1
5500,1
3913,1
5414,1
1992,1
5276,1
1961,1
4131,1
2997,1
1595,1
1720,1
4616,1
789,1
4699,1
495,1
5171,1
2224,1
501,1
830,1
3534,1
304,1
1268,1
5444,1
1684,1
6462,1
2238,1
857,1
2391,1
2879,1
3612,1
5895,1
3057,1
3262,1
3315,1
2668,1
3593,1
5224,1
5922,1
1030,1
2101,1
4888,1
5206,1
2026,1
5409,1
642,1
5284,1
5659,1
6511,1
2671,1
1138,1
531,1
2322,1
611,1
2854,1
5702,1
1773,1
4299,1
6320,1
2842,1
1173,1
372,1
1728,1
5829,1
3479,1
2846,1
6418,1
3024,1
345,1
5290,1
4539,1
113,1
3345,1
1542,1
425,1
2266,1
3943,1
5392,1
4749,1
4373,1
5080,1
2685,1
6453,1
5374,1
3292,1
4053,1
4323,1
4925,1
865,1
3079,1
993,1
4128,1
1013,1
6508,1
2983,1
2564,1
3971,1
6021,1
3264,1
2904,1
910,1
1791,1
3946,1
2311,1
570,1
4667,1
3640,1
5482,1
6280,1
726,1
221,1
2284,1
1650,1
92,1
3382,1
4597,1
4406,1
574,1
1756,1
2776,1
4369,1
5887,1
1399,1
667,1
1594,1
5843,1
5209,1
5225,1
2248,1
3411,1
1420,1
3203,1
6261,1
429,1
3594,1
6016,1
3992,1
3239,1
4595,1
5439,1
1235,1
900,1
5099,1
5749,1
1051,1
6332,1
2030,1
2233,1
733,1
2290,1
